date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:09	29959/29959	---M-Z	200	added ('OK')	text/html	etag:%22712366f0d12091c3076046c762c0949c-ssl-df%22	https://worldhappiness.report/	C:/My%20Web%20Sites/happysite/worldhappiness.report/index.html	(from )
09:41:09	75/75	---M--	200	added ('OK')	text/plain	etag:%22c6650a6a5fd2feed1179c1ef62e7d1d3-ssl%22	https://worldhappiness.report/robots.txt		(from )
09:41:11	9915/9915	---M--	200	added ('OK')	image/png	etag:%22658658bb9294e68a959a6a59149bf820-ssl%22	https://worldhappiness.report/assets/images/icons/whr-cover-ico.png	C:/My%20Web%20Sites/happysite/worldhappiness.report/assets/images/icons/whr-cover-ico.png	(from https://worldhappiness.report/)
09:41:13	438/438	---M--	200	added ('OK')	image/png	etag:%224a851f308487e6ccdefb1713c0f15f2e-ssl%22	https://worldhappiness.report/assets/images/icons/favicon-32x32.png	C:/My%20Web%20Sites/happysite/worldhappiness.report/assets/images/icons/favicon-32x32.png	(from https://worldhappiness.report/)
09:41:16	3866/3866	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f152042dd793fdd74bbfce4a2df98120-ssl-df%22	https://worldhappiness.report/assets/logos/gallup.svg	C:/My%20Web%20Sites/happysite/worldhappiness.report/assets/logos/gallup.svg	(from https://worldhappiness.report/)
09:41:17	22967/22967	---M-Z	200	added ('OK')	text/html	etag:%22cc503290533357946d5188af621cb581-ssl-df%22	https://worldhappiness.report/about/	C:/My%20Web%20Sites/happysite/worldhappiness.report/about/index.html	(from https://worldhappiness.report/)
09:41:17	29917/29917	---M-Z	200	added ('OK')	text/html	etag:%2297f1f28b71d5f849e6c0ef06731c5fc5-ssl-df%22	https://worldhappiness.report/faq/	C:/My%20Web%20Sites/happysite/worldhappiness.report/faq/index.html	(from https://worldhappiness.report/)
09:41:17	34391/34391	---MCZ	200	added ('OK')	text/html	etag:%22edb74d70d00a4e6f84f3a66cc77cc960-ssl-df%22	https://worldhappiness.report/archive/	C:/My%20Web%20Sites/happysite/worldhappiness.report/archive/index.html	(from https://worldhappiness.report/)
09:41:19	25903/25903	---M-Z	200	added ('OK')	image/svg+xml	etag:%2299e88b51942724a00661bd4551c28390-ssl-df%22	https://worldhappiness.report/assets/logos/uo-wrc.svg	C:/My%20Web%20Sites/happysite/worldhappiness.report/assets/logos/uo-wrc.svg	(from https://worldhappiness.report/)
09:41:19	48541/48541	---MCZ	200	added ('OK')	text/html	etag:%226bdde77912c1d084e7724531e837f060-ssl-df%22	https://worldhappiness.report/data/	C:/My%20Web%20Sites/happysite/worldhappiness.report/data/index.html	(from https://worldhappiness.report/)
